Observation Location,RSS,XML,State,latitude,longitude
SCHELL AHP (KSXS),KSXS.rss,KSXS.xml,AL,31.35,-85.85
Scottsboro Municipal Airport (K4A6),K4A6.rss,K4A6.xml,AL,34.68871,-86.00593
Sonny Callahan Airport (KCQF),KCQF.rss,KCQF.xml,AL,30.461,-87.877
St Clair County Airport (KPLR),KPLR.rss,KPLR.xml,AL,33.5588,-86.2491
"Troy, Troy Municipal Airport (KTOI)",KTOI.rss,KTOI.xml,AL,31.86056,-86.01222
Tuscaloosa Regional Airport (KTCL),KTCL.rss,KTCL.xml,AL,33.21215,-87.61554
"Adak Island, Adak Airport (PADK)",PADK.rss,PADK.xml,AK,51.87778,-176.64583
Akun Airport (PAUT),PAUT.rss,PAUT.xml,AK,54.1446,-165.6041
"Ambler, Ambler Airport (PAFM)",PAFM.rss,PAFM.xml,AK,67.1,-157.85
"Anaktuvuk Pass, Anaktuvuk Pass Airport (PAKP)",PAKP.rss,PAKP.xml,AK,68.13361,-151.74333
"Anchorage, Elmendorf Air Force Base (PAED)",PAED.rss,PAED.xml,AK,61.25306,-149.79389
"Anchorage, Lake Hood Seaplane Base (PALH)",PALH.rss,PALH.xml,AK,61.18333,-149.96667
"Anchorage, Merrill Field Airport (PAMR)",PAMR.rss,PAMR.xml,AK,61.21667,-149.85
"Anchorage, Ted Stevens Anchorage International Airport (PANC)",PANC.rss,PANC.xml,AK,61.17444,-149.99611
Angoon (PAGN),PAGN.rss,PAGN.xml,AK,57.5,-134.58333
"Aniak, Aniak Airport (PANI)",PANI.rss,PANI.xml,AK,61.58139,-159.54278
"Anvik, Anvik Airport (PANV)",PANV.rss,PANV.xml,AK,62.64833,-160.18972
"Arctic Village, Arctic Village Airport (PARC)",PARC.rss,PARC.xml,AK,68.11444,-145.57917
Atqasuk (PATQ),PATQ.rss,PATQ.xml,AK,70.4673,-157.4357
"Barter Island, Barter Island LRRS Airport (PABA)",PABA.rss,PABA.xml,AK,70.13389,-143.57694
"Bethel, Bethel Airport (PABE)",PABE.rss,PABE.xml,AK,60.77972,-161.83778
"Bettles, Bettles Airport (PABT)",PABT.rss,PABT.xml,AK,66.91667,-151.51667
"Birchwood, Birchwood Airport (PABV)",PABV.rss,PABV.xml,AK,61.41667,-149.51667
"Buckland, Buckland Airport (PABL)",PABL.rss,PABL.xml,AK,65.98222,-161.15194
"Chignik, Chignik Airport (PAJC)",PAJC.rss,PAJC.xml,AK,56.31139,-158.37333
"Chulitna, Chulitna Airport (PAEC)",PAEC.rss,PAEC.xml,AK,62.88333,-149.83333
Clarks Point Airport (PFCL),PFCL.rss,PFCL.xml,AK,58.8337,-158.5294
"Cold Bay, Cold Bay Airport (PACD)",PACD.rss,PACD.xml,AK,55.22083,-162.72778
"Cordova, Merle K (Mudhole) Smith Airport (PACV)",PACV.rss,PACV.xml,AK,60.49167,-145.47778
"Deadhorse, Alpine Airstrip (PALP)",PALP.rss,PALP.xml,AK,70.33333,-150.93333
"Deadhorse, Deadhorse Airport (PASC)",PASC.rss,PASC.xml,AK,70.2,-148.46667
"Delta Junction/Ft Greely, Allen Army Airfield (PABI)",PABI.rss,PABI.xml,AK,64,-145.73333
"Dillingham, Dillingham Airport (PADL)",PADL.rss,PADL.xml,AK,59.05,-158.51667
"Eagle, Eagle Airport (PAEG)",PAEG.rss,PAEG.xml,AK,64.77639,-141.15083
"Egegik, Egegik Airport (PAII)",PAII.rss,PAII.xml,AK,58.18528,-157.38556
Elfin Cove - Elfin Cove Seaplane Base (PAEL),PAEL.rss,PAEL.xml,AK,58.19467,-136.34663
"Emmonak, Emmonak Airport (PAEM)",PAEM.rss,PAEM.xml,AK,62.78333,-164.5
"Eureka, Skelton Airport (PAZK)",PAZK.rss,PAZK.xml,AK,61.93333,-147.16667
"Fairbanks, Eielson Air Force Base (PAEI)",PAEI.rss,PAEI.xml,AK,64.65,-147.1
"Fairbanks, Fairbanks International Airport (PAFA)",PAFA.rss,PAFA.xml,AK,64.80389,-147.87611
Fort Wainwright AAF (PAFB),PAFB.rss,PAFB.xml,AK,64.83667,-147.59556
"Fort Yukon, Fort Yukon Airport (PFYU)",PFYU.rss,PFYU.xml,AK,66.56667,-145.26667
"Ft. Richardson / Bryant U. S. Army Heliport, Ak (PAFR)",PAFR.rss,PAFR.xml,AK,61.26667,-149.65
"Galbraith Lake, Galbraith Lake Airport (PAGB)",PAGB.rss,PAGB.xml,AK,68.48333,-149.48333
"Galena, Edward G. Pitka Sr. Airport (PAGA)",PAGA.rss,PAGA.xml,AK,64.73333,-156.93333
"Golovin, Golovin Airport (PAGL)",PAGL.rss,PAGL.xml,AK,64.54333,-163.03944
"Gulkana, Gulkana Airport (PAGK)",PAGK.rss,PAGK.xml,AK,62.15,-145.45
"Gustavus, Gustavus Airport (PAGS)",PAGS.rss,PAGS.xml,AK,58.41667,-135.7
Haines - Haines Airport (PAHN),PAHN.rss,PAHN.xml,AK,59.2429,-135.5114
Holy Cross (PAHC),PAHC.rss,PAHC.xml,AK,62.1873,-159.77657
"Homer, Homer Airport (PAHO)",PAHO.rss,PAHO.xml,AK,59.65,-151.48333
Hoonah - Hoonah Seaplane Base (PAOH),PAOH.rss,PAOH.xml,AK,58.097,-135.414
"Hooper Bay, Hooper Bay Airport (PAHP)",PAHP.rss,PAHP.xml,AK,61.51667,-166.13333
"Huslia, Huslia Airport (PAHL)",PAHL.rss,PAHL.xml,AK,65.6975,-156.35111
Hydaburg - Hydaburg Seaplane Base (PAHY),PAHY.rss,PAHY.xml,AK,55.2,-132.83333
Igiugig (PAIG),PAIG.rss,PAIG.xml,AK,59.32395,-155.90235
"Iliamna, Iliamna Airport (PAIL)",PAIL.rss,PAIL.xml,AK,59.75,-154.9
"Juneau, Juneau International Airport (PAJN)",PAJN.rss,PAJN.xml,AK,58.35472,-134.57611
Kake - Kake Airport (PAFE),PAFE.rss,PAFE.xml,AK,56.964,-133.913
Kalskag (PALG),PALG.rss,PALG.xml,AK,61.5364,-160.3414
"Kaltag, Kaltag Airport (PAKV)",PAKV.rss,PAKV.xml,AK,64.31667,-158.73333
"Kenai, Kenai Municipal Airport (PAEN)",PAEN.rss,PAEN.xml,AK,60.57306,-151.245
"Ketchikan, Ketchikan International Airport (PAKT)",PAKT.rss,PAKT.xml,AK,55.35556,-131.71361
Kinana / Bob Baker Me (PAIK),PAIK.rss,PAIK.xml,AK,66.98333,-160.43333
"King Salmon, King Salmon Airport (PAKN)",PAKN.rss,PAKN.xml,AK,58.67667,-156.64917
"Kipnuk, Kipnuk Airport (PAKI)",PAKI.rss,PAKI.xml,AK,59.93278,-164.03028
"Kivalina, Kivalina Airport (PAVL)",PAVL.rss,PAVL.xml,AK,67.73333,-164.55
Klawock - Klawock Airport (PAKW),PAKW.rss,PAKW.xml,AK,55.5839,-133.067
"Kodiak, Kodiak Airport (PADQ)",PADQ.rss,PADQ.xml,AK,57.75,-152.5
Koliganek (PAJZ),PAJZ.rss,PAJZ.xml,AK,59.727,-157.259
"Koyuk, Koyuk Airport (PAKK)",PAKK.rss,PAKK.xml,AK,64.93389,-161.15806
"Kuparuk, Ugnu-Kuparuk Airport (PAKU)",PAKU.rss,PAKU.xml,AK,70.31667,-149.58333
Manokotak (PAMB),PAMB.rss,PAMB.xml,AK,58.9902,-159.0499
"McGrath, McGrath Airport (PAMC)",PAMC.rss,PAMC.xml,AK,62.96667,-155.61667
"McKinley Park, McKinley National Park Airport (PAIN)",PAIN.rss,PAIN.xml,AK,63.73333,-148.91667
Middleton Island Airport (PAMD),PAMD.rss,PAMD.xml,AK,59.4423,-146.3166
"Minchumina, Minchumina Airport (PAMH)",PAMH.rss,PAMH.xml,AK,63.88056,-152.30056
Nelson Lagoon (PAOU),PAOU.rss,PAOU.xml,AK,56.008,-161.16
Nenana Municipal Airport (PANN),PANN.rss,PANN.xml,AK,64.54796,-149.08398
New Stuyahok (PANW),PANW.rss,PANW.xml,AK,59.45,-157.328
Nikolai (PAFS),PAFS.rss,PAFS.xml,AK,63.019,-154.358
"Noatak, Noatak Airport (PAWN)",PAWN.rss,PAWN.xml,AK,67.56667,-162.98333
"Nome, Nome Airport (PAOM)",PAOM.rss,PAOM.xml,AK,64.51194,-165.445
Noorvik (PFNO),PFNO.rss,PFNO.xml,AK,66.8175,-161.0223
"Northway, Northway Airport (PAOR)",PAOR.rss,PAOR.xml,AK,62.96111,-141.92889
"Nuiqsut, Nuiqsut Airport (PAQT)",PAQT.rss,PAQT.xml,AK,70.21,-151.00556
"Palmer, Palmer Municipal Airport (PAAQ)",PAAQ.rss,PAAQ.xml,AK,61.6,-149.08333
Petersburg (PAPG),PAPG.rss,PAPG.xml,AK,56.8017,-132.9453
Platinum (PAPM),PAPM.rss,PAPM.xml,AK,59.01667,-161.81667
"Point Hope, Point Hope Airport (PAPO)",PAPO.rss,PAPO.xml,AK,68.35,-166.8
"Point Lay, Point Lay LRRS Airport (PPIZ)",PPIZ.rss,PPIZ.xml,AK,69.71667,-163
Point Thomson Airstrip (PAAD),PAAD.rss,PAAD.xml,AK,70.136,-146.2901
"Port Alsworth, Port Alsworth Airport (PALJ)",PALJ.rss,PALJ.xml,AK,60.2,-154.31667
"Port Heiden, Port Heiden Airport (PAPH)",PAPH.rss,PAPH.xml,AK,56.95,-158.63333
"Portage, Portage Glacier (PATO)",PATO.rss,PATO.xml,AK,60.78333,-148.83333
"Prospect Creek, Prospect Creek Airport (PAPR)",PAPR.rss,PAPR.xml,AK,66.81278,-150.64389
Puntilla (PAPT),PAPT.rss,PAPT.xml,AK,62.1,-152.75
Ralph Wien Memorial Airport (PAOT),PAOT.rss,PAOT.xml,AK,66.88576,-162.60624
Red Dog (PADG),PADG.rss,PADG.xml,AK,68.0321,-162.8992
Ruby (PARY),PARY.rss,PARY.xml,AK,64.7272,-155.4697
Russian Mission (PARS),PARS.rss,PARS.xml,AK,61.775,-161.3194
Sand Point (PASD),PASD.rss,PASD.xml,AK,55.31667,-160.51667
Savoonga Airport (PASA),PASA.rss,PASA.xml,AK,63.68333,-170.5
Scammon Bay (PACM),PACM.rss,PACM.xml,AK,61.8453,-165.5713
Selawik (PASK),PASK.rss,PASK.xml,AK,66.61667,-160
"Seldovia, Seldovia Airport (PASO)",PASO.rss,PASO.xml,AK,59.45,-151.7
Seward (PAWD),PAWD.rss,PAWD.xml,AK,60.11667,-149.45
Shaktoolik Airport (PFSH),PFSH.rss,PFSH.xml,AK,64.3711,-161.224
"Shemya, Eareckson AFB (PASY)",PASY.rss,PASY.xml,AK,52.71667,174.11667
"Shishmaref, Shishmaref Airport (PASH)",PASH.rss,PASH.xml,AK,66.26667,-166.08333
Shungnak Airport (PAGH),PAGH.rss,PAGH.xml,AK,66.8881,-157.1624
Sitka - Sitka Airport (PASI),PASI.rss,PASI.xml,AK,57.048,-135.3647
Skagway (PAGY),PAGY.rss,PAGY.xml,AK,59.4544,-135.3263
Soldotna (PASX),PASX.rss,PASX.xml,AK,60.48333,-151.03333
St Michael Airport (PAMK),PAMK.rss,PAMK.xml,AK,63.49006,-162.11039
"St. George, St. George Airport (PAPB)",PAPB.rss,PAPB.xml,AK,56.57861,-169.66139
"St. Mary's, St. Mary's Airport (PASM)",PASM.rss,PASM.xml,AK,62.05,-163.3
"St. Paul Island, St. Paul Island Airport (PASN)",PASN.rss,PASN.xml,AK,57.16667,-170.21667
"Talkeetna, Talkeetna Airport (PATK)",PATK.rss,PATK.xml,AK,62.32056,-150.09361
"Tanana, Calhoun Memorial Airport (PATA)",PATA.rss,PATA.xml,AK,65.16667,-152.1
Teller (PATE),PATE.rss,PATE.xml,AK,65.2404,-166.3393
"Togiac Village, Togiak Airport (PATG)",PATG.rss,PATG.xml,AK,59.05,-160.4
Toksook Bay (PAOO),PAOO.rss,PAOO.xml,AK,60.53352,-165.1143
Unalakleet (PAUN),PAUN.rss,PAUN.xml,AK,63.88333,-160.8
"Unalaska, Unalaska Airport (PADU)",PADU.rss,PADU.xml,AK,53.9,-166.53333
Valdez 2 (PAVD),PAVD.rss,PAVD.xml,AK,61.13333,-146.26667
Wales (PAIW),PAIW.rss,PAIW.xml,AK,65.6226,-168.0949
"Wasilla, Wasilla Airport (PAWS)",PAWS.rss,PAWS.xml,AK,61.57194,-149.54056
Wiley Post-Will Rogers Memorial Airport (PABR),PABR.rss,PABR.xml,AK,71.28528,-156.76583
Wrangell (PAWG),PAWG.rss,PAWG.xml,AK,56.48333,-132.36667
Yakutat (PAYA),PAYA.rss,PAYA.xml,AK,59.51667,-139.66667
Ak-Chin Regional Airport (KA39),KA39.rss,KA39.xml,AZ,32.99,-111.91833
Buckeye Municipal Airport (KBXK),KBXK.rss,KBXK.xml,AZ,33.4204,-112.6862
"Bullhead City, Laughlin/Bullhead International Airport (KIFP)",KIFP.rss,KIFP.xml,AZ,35.1575,-114.55944
"Casa Grande, Casa Grande Municipal Airport (KCGZ)",KCGZ.rss,KCGZ.xml,AZ,32.95,-111.76667
"Chandler, Chandler Municipal Airport (KCHD)",KCHD.rss,KCHD.xml,AZ,33.26917,-111.81111
"Colorado City, Colorado City Municipal Airport (KAZC)",KAZC.rss,KAZC.xml,AZ,36.95,-113
Coolidge Municipal Airport (KP08),KP08.rss,KP08.xml,AZ,32.9359,-111.4265
Davis-Monthan Air Force Base (KDMA),KDMA.rss,KDMA.xml,AZ,32.16667,-110.88333
Flagstaff Pulliam Airport (KFLG),KFLG.rss,KFLG.xml,AZ,35.14433,-111.66637
"Fort Huachuca, Libby AAF Ft Huachuca (KFHU)",KFHU.rss,KFHU.xml,AZ,31.58333,-110.33333
Gila Bend Air Force Auxiliary Field (KGXF),KGXF.rss,KGXF.xml,AZ,32.8875,-112.72
"Glendale, Glendale Municipal Airport (KGEU)",KGEU.rss,KGEU.xml,AZ,33.52722,-112.29528
Goodyear Municipal (KGYR),KGYR.rss,KGYR.xml,AZ,33.41667,-112.38333
Grand Canyon National Park Airport (KGCN),KGCN.rss,KGCN.xml,AZ,35.94582,-112.15538
Havasu City Airport (KHII),KHII.rss,KHII.xml,AZ,34.56595,-114.35224
"Kingman, Kingman Airport (KIGM)",KIGM.rss,KIGM.xml,AZ,35.25778,-113.93306
Laguna Army Airfield (KLGF),KLGF.rss,KLGF.xml,AZ,32.86459,-114.39298
Luke Air Force Base / Phoenix (KLUF),KLUF.rss,KLUF.xml,AZ,33.53333,-112.38333
Mesa / Falcon Field (KFFZ),KFFZ.rss,KFFZ.xml,AZ,33.46667,-111.73333
"Nogales, Nogales International Airport (KOLS)",KOLS.rss,KOLS.xml,AZ,31.42083,-110.84583
"Page, Page Municipal Airport (KPGA)",KPGA.rss,KPGA.xml,AZ,36.92056,-111.44806
Payson Airport (KPAN),KPAN.rss,KPAN.xml,AZ,34.2568364,-111.3392558
"Phoenix, Phoenix Sky Harbor International Airport (KPHX)",KPHX.rss,KPHX.xml,AZ,33.427799,-112.003465
"Phoenix, Phoenix-Deer Valley Municipal Airport (KDVT)",KDVT.rss,KDVT.xml,AZ,33.69026,-112.06618
Phoenix-Mesa Gateway Airport (KIWA),KIWA.rss,KIWA.xml,AZ,33.31667,-111.65
Pinal Airpark (KMZJ),KMZJ.rss,KMZJ.xml,AZ,32.50983,-111.32533
Pioneer Airfield (KALK),KALK.rss,KALK.xml,AZ,31.60564,-110.4281
"Prescott, Love Field (KPRC)",KPRC.rss,KPRC.xml,AZ,34.64917,-112.42222
"Safford, Safford Municipal Airport (KSAD)",KSAD.rss,KSAD.xml,AZ,32.85722,-109.63556
Scottsdale Airport (KSDL),KSDL.rss,KSDL.xml,AZ,33.61235,-111.92316
Sedona Airport (KSEZ),KSEZ.rss,KSEZ.xml,AZ,34.85,-111.78333
"Show Low, Show Low Regional Airport (KSOW)",KSOW.rss,KSOW.xml,AZ,34.26528,-110.00556
Springerville Municipal Airport (KJTC),KJTC.rss,KJTC.xml,AZ,34.1294,-109.3109
"St. Johns, St. Johns Industrial Airpark (KSJN)",KSJN.rss,KSJN.xml,AZ,34.51833,-109.37917
Taylor Airport (KTYL),KTYL.rss,KTYL.xml,AZ,34.45272,-110.11503
Tucson Marana Regional Airport (KAVQ),KAVQ.rss,KAVQ.xml,AZ,32.4096,-111.2184
Tucson Ryan Field Airport (KRYN),KRYN.rss,KRYN.xml,AZ,32.1422,-111.1746
"Tucson, Tucson International Airport (KTUS)",KTUS.rss,KTUS.xml,AZ,32.13153,-110.95635
Williams/Clark Memorial Airport (KCMR),KCMR.rss,KCMR.xml,AZ,35.3054722,-112.1943889
"Window Rock, Window Rock Airport (KRQE)",KRQE.rss,KRQE.xml,AZ,35.65,-109.06667
"Winslow, Winslow Municipal Airport (KINW)",KINW.rss,KINW.xml,AZ,35.02806,-110.72083
Yuma Auxiliary Airfield (KNOZ),KNOZ.rss,KNOZ.xml,AZ,32.5,-114.45
"Yuma, Marine Corps Air Station (KNYL)",KNYL.rss,KNYL.xml,AZ,32.65944,-114.59306
"Batesville, Batesville Regional Airport (KBVX)",KBVX.rss,KBVX.xml,AR,35.73333,-91.65
Baxter County Airport (KBPK),KBPK.rss,KBPK.xml,AR,36.37056,-92.47194
"Bentonville, Bentonville Municipal Airport/Louise M Thaden Field (KVBT)",KVBT.rss,KVBT.xml,AR,36.35,-94.21667
"Blytheville, Blytheville Municipal Airport (KHKA)",KHKA.rss,KHKA.xml,AR,35.93889,-89.8325
Camden / Harrell Field (KCDH),KCDH.rss,KCDH.xml,AR,33.61667,-92.76667
Clinton Memorial Airfield (KCCA),KCCA.rss,KCCA.xml,AR,35.598,-92.4516
Conway - Cantrell Field (KCXW),KCXW.rss,KCXW.xml,AR,35.0199,-92.5551
Corning Municipal Airport (K4M9),K4M9.rss,K4M9.xml,AR,36.404,-90.648
"De Queen, J Lynn Helms Sevier County Airport (KDEQ)",KDEQ.rss,KDEQ.xml,AR,34.04694,-94.39944
Dexter B Florence Memorial Field (KADF),KADF.rss,KADF.xml,AR,34.0998,-93.0661
Eaker Air Force Base (KBYH),KBYH.rss,KBYH.xml,AR,35.96667,-89.95
"Fayetteville, Drake Field (KFYV)",KFYV.rss,KFYV.xml,AR,36.01028,-94.16778
"Flippin, Marion County Regional Airport (KFLP)",KFLP.rss,KFLP.xml,AR,36.3,-92.58333
Fort Smith Regional Airport (KFSM),KFSM.rss,KFSM.xml,AR,35.3335,-94.36524
"Harrison, Boone County Airport (KHRO)",KHRO.rss,KHRO.xml,AR,36.26167,-93.15472
"Hot Springs, Memorial Field Airport (KHOT)",KHOT.rss,KHOT.xml,AR,34.47806,-93.09611
"Jonesboro, Jonesboro Municipal Airport (KJBR)",KJBR.rss,KJBR.xml,AR,35.83722,-90.64306
Little Rock Air Force Base (KLRF),KLRF.rss,KLRF.xml,AR,34.91667,-92.15
"Little Rock, Adams Field (KLIT)",KLIT.rss,KLIT.xml,AR,34.72667,-92.23611
"Mena, Mena Intermountain Municipal Airport (KMEZ)",KMEZ.rss,KMEZ.xml,AR,34.54528,-94.2025
"Monticello, Monticello Municipal Airport/Ellis Field (KLLQ)",KLLQ.rss,KLLQ.xml,AR,33.63833,-91.75111
Mount Ida (KMWT),KMWT.rss,KMWT.xml,AR,34.55,-93.58333
"Newport, Newport Municipal Airport (KM19)",KM19.rss,KM19.xml,AR,35.6375,-91.17611
North Little Rock Municipal Airport (KORK),KORK.rss,KORK.xml,AR,34.83314,-92.25414
Northwest Arkansas Regional Airport (KXNA),KXNA.rss,KXNA.xml,AR,36.28977,-94.31145
"Pine Bluff, Grider Field Airport (KPBF)",KPBF.rss,KPBF.xml,AR,34.175,-91.93472
Rogers - Rogers Executive Airport - Carter Field (KROG),KROG.rss,KROG.xml,AR,36.36667,-94.1
Russelville Municipal Airport (KRUE),KRUE.rss,KRUE.xml,AR,35.25737,-93.09494
Saline County Regional Airport (KSUZ),KSUZ.rss,KSUZ.xml,AR,34.59039,-92.47944
Searcy Municipal Airport (KSRC),KSRC.rss,KSRC.xml,AR,35.21349,-91.73928
"Siloam Springs, Smith Field Airport (KSLG)",KSLG.rss,KSLG.xml,AR,36.2,-94.48333
South Arkansas Regional Airport (KELD),KELD.rss,KELD.xml,AR,33.22075,-92.814
Springdale Municipal (KASG),KASG.rss,KASG.xml,AR,36.18333,-94.11667
"Stuttgart, Stuttgart Municipal Airport (KSGT)",KSGT.rss,KSGT.xml,AR,34.6,-91.56667
"Texarkana, Texarkana Regional-Webb Field (KTXK)",KTXK.rss,KTXK.xml,AR,33.45611,-93.9875
Walnut Ridge Regional Airport (KARG),KARG.rss,KARG.xml,AR,36.12562,-90.92148
"West Memphis, West Memphis Municipal Airport (KAWM)",KAWM.rss,KAWM.xml,AR,35.13333,-90.23333
Alturas (KAAT),KAAT.rss,KAAT.xml,CA,41.48362,-120.5615
"Arcata / Eureka, Arcata Airport (KACV)",KACV.rss,KACV.xml,CA,40.97806,-124.10861
Auburn Municipal Airport (KAUN),KAUN.rss,KAUN.xml,CA,38.95535,-121.08636
Avalon Catalina Airport (KAVX),KAVX.rss,KAVX.xml,CA,33.40421,-118.41456
"Bakersfield, Meadows Field Airport (KBFL)",KBFL.rss,KBFL.xml,CA,35.43361,-119.05667
Big Bear City Airport (KL35),KL35.rss,KL35.xml,CA,34.2638,-116.856
"Bishop, Bishop Airport (KBIH)",KBIH.rss,KBIH.xml,CA,37.37111,-118.35806
"Blythe, Blythe Airport (KBLH)",KBLH.rss,KBLH.xml,CA,33.61917,-114.71694
Borrego Valley Airport (KL08),KL08.rss,KL08.xml,CA,33.25903,-116.32097
Brackett Field Airport (KPOC),KPOC.rss,KPOC.xml,CA,34.09282,-117.77937
Burbank - Bob Hope Airport (KBUR),KBUR.rss,KBUR.xml,CA,34.19967,-118.36538
Byron (KC83),KC83.rss,KC83.xml,CA,37.8276,-121.6244
Cable Airport (KCCB),KCCB.rss,KCCB.xml,CA,34.11161,-117.68739
"Camarillo, Camarillo Airport (KCMA)",KCMA.rss,KCMA.xml,CA,34.21667,-119.08333
"Carlsbad, McClellan-Palomar Airport (KCRQ)",KCRQ.rss,KCRQ.xml,CA,33.13,-117.27583
Chico Municipal Airport (KCIC),KCIC.rss,KCIC.xml,CA,39.79879,-121.85795
"China Lake, Naval Air Facility (KNID)",KNID.rss,KNID.xml,CA,35.68639,-117.69
"Chino, Chino Airport (KCNO)",KCNO.rss,KCNO.xml,CA,33.97556,-117.62361
COLUMBIA (KO22),KO22.rss,KO22.xml,CA,38.03,-120.42
"Concord, Buchanan Field (KCCR)",KCCR.rss,KCCR.xml,CA,37.99167,-122.05194
Corona Airport (KAJO),KAJO.rss,KAJO.xml,CA,33.8977,-117.6024
"Crescent City, Jack McNamara Field Airport (KCEC)",KCEC.rss,KCEC.xml,CA,41.78028,-124.23667
"Daggett, Barstow-Daggett Airport (KDAG)",KDAG.rss,KDAG.xml,CA,34.85361,-116.78667
Delano Municipal Airport (KDLO),KDLO.rss,KDLO.xml,CA,35.74556,-119.2365
Edwards Air Force Auxiliary North Base (K9L2),K9L2.rss,K9L2.xml,CA,34.99083,-117.86317
Edwards Air Force Base (KEDW),KEDW.rss,KEDW.xml,CA,34.918,-117.879
"El Centro, Naval Air Facility (KNJK)",KNJK.rss,KNJK.xml,CA,32.825,-115.66056
El Monte (KEMT),KEMT.rss,KEMT.xml,CA,34.08333,-118.03333
"Emigrant Gap, Blue Canyon Nyack Airport (KBLU)",KBLU.rss,KBLU.xml,CA,39.27611,-120.70806
Fairfield / Travis Air Force Base (KSUU),KSUU.rss,KSUU.xml,CA,38.26667,-121.95
Fallbrook Community Airpark (KL18),KL18.rss,KL18.xml,CA,33.3542,-117.2509
"Fort Irwin/Barstow, Bicycle Lake Army Airfield (KBYS)",KBYS.rss,KBYS.xml,CA,35.28333,-116.61667
FORT ORD/FRITZSCHE (KOAR),KOAR.rss,KOAR.xml,CA,36.68,-121.77
Fortuna Rohnerville Airport (KFOT),KFOT.rss,KFOT.xml,CA,40.55296,-124.13338
"Fresno, Fresno Air Terminal (KFAT)",KFAT.rss,KFAT.xml,CA,36.78,-119.71944
